id,date_id,bank_id,payment_method_id,description,category,amount,payment modality
503,337,5,0,EXXON,Gas,33.83,At the store
502,338,5,0,7-ELEVEN,Grocery,1.35,At the store
501,339,5,0,COSTCO,Grocery,121.22,At the store
500,341,5,0,AMERICAN MAJESTIC EAGLE,Gas,28.79,At the store
17,346,1,0,LA FITNESS,Gym,39.99,Online
499,347,5,0,COSTCO,Grocery,72.61,At the store
498,347,5,0,COSTCO,Grocery,2.19,At the store
497,348,5,0,AMERICAN MAJESTIC EAGLE,Gas,29.78,At the store
16,351,1,0,LUBE - IT,Auto,20.0,At the store
496,351,5,0,AMERICAN MAJESTIC EAGLE,Gas,30.42,At the store
495,352,5,0,EXXON,Gas,25.0,At the store
15,352,1,0,LIDL,Grocery,3.61,Online
494,354,5,0,7-ELEVEN,Grocery,3.03,At the store
13,354,1,0,ALDI,Grocery,7.72,Online
14,355,1,0,LIDL,Grocery,6.25,Online
493,356,5,0,AMERICAN MAJESTIC EAGLE,Gas,33.65,At the store
12,356,1,0,LIDL,Grocery,20.2,Online
11,358,1,0,Amazon,Merchandise,12.19,Online
10,358,1,0,Amazon,Merchandise,12.19,Online
9,359,1,0,Gas Fuel,Gas,32.06,Online
8,360,1,0,GREAT WALL SUPERMARKET,Grocery,5.88,Online
492,361,5,0,COSTCO,Grocery,459.17,At the store
7,361,1,0,H MART,Grocery,6.6,Online
6,363,1,0,APPLE,Phone/Cables,0.99,Online
5,363,1,0,LIDL,Grocery,4.35,Online
4,364,1,0,SUNOCO,Gas,38.69,Online
2,364,1,0,ALDI,Grocery,16.74,Online
3,365,1,0,FEDEX,Shipping,0.22,At the store
1,365,1,0,PIRATE SHIP * POSTAGE,Shipping,9.36,Online
